,Measure_Name,name,gap_size,performance_data,performance_trend_slope,trend
0,BP02,peers,0.3999999999999999,1.0,3.011728876938359e-18,non-monotonic
2,BP02,goal,0.09999999999999998,1.0,3.011728876938359e-18,non-monotonic
4,CARD03,peers,0.06999999999999995,1.0,0.0,no trend
6,CARD03,goal,0.95,1.0,0.0,no trend
8,CARD02,goal,0.95,1.0,0.0,no trend
10,CARD02,peers,0.06999999999999995,1.0,0.0,no trend
12,FLUID01C,peers,0.68,0.25,6.640862173649059e-17,non-monotonic
13,AKI01,peers,0.20272727272727276,0.7272727272727273,5.17469779764863e-18,non-monotonic
15,AKI01,goal,0.6272727272727273,0.7272727272727273,5.17469779764863e-18,non-monotonic
17,BP01,goal,0.25,1.0,0.0,no trend
19,BP01,peers,0.06999999999999995,1.0,0.0,no trend
21,FLUID01NC,peers,0.06999999999999995,1.0,2.6352627673210457e-18,no trend
22,BP04,peers,1.2,0.0,0.0,no trend
24,BP04,goal,0.9,0.0,0.0,no trend
26,BP03,goal,0.09047619047619049,0.8095238095238095,3.501134819440831e-17,monotonic
28,BP03,peers,0.12047619047619051,0.8095238095238095,3.501134819440831e-17,monotonic
30,ABX01,goal,0.9,0.0,0.0,no trend
32,ABX01,peers,0.93,0.0,0.0,no trend
